Time,Time Code,Country Name,Country Code,Net migration [SM.POP.NETM],"Population, total [SP.POP.TOTL]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Human capital index (HCI) (scale 0-1) [HD.HCI.OVRL]
2007,YR2007,Afghanistan,AFG,-1046361,27100542,392.7104656,59.375,..
2007,YR2007,Albania,ALB,-217358,2970017,3044.895819,75.646,..
2007,YR2007,Algeria,DZA,-357340,34166976,3828.148476,73.936,..
2007,YR2007,American Samoa,ASM,..,58367,12586.71604,..,..
2007,YR2007,Andorra,AND,..,82682,40392.03175,..,..
2007,YR2007,Angola,AGO,357301,20905360,2845.40643,52.177,..
2007,YR2007,Antigua and Barbuda,ATG,1887,84029,18062.46566,75.376,..
2007,YR2007,Argentina,ARG,-120000,39684303,12919.23536,74.787,..
2007,YR2007,Armenia,ARM,-183361,2932615,3093.36934,72.815,..
2007,YR2007,Aruba,ABW,-441,101226,29689.34156,74.576,..
2007,YR2007,Australia,AUS,1210802,20827600,52538.97558,81.29268293,..
2007,YR2007,Austria,AUT,153763,8295487,43937.71289,80.1804878,..
2007,YR2007,Azerbaijan,AZE,53579,8581300,4326.961569,69.752,..
2007,YR2007,"Bahamas, The",BHS,14536,337387,35696.92055,71.998,..
2007,YR2007,Bahrain,BHR,272000,1035924,22111.68008,75.625,..
2007,YR2007,Bangladesh,BGD,-3254778,142660381,856.0459472,68.648,..
2007,YR2007,Barbados,BRB,-249,278701,18205.40329,78.097,..
2007,YR2007,Belarus,BLR,63933,9560953,4684.980291,70.20731707,..
2007,YR2007,Belgium,BEL,294270,10625700,40290.22776,79.78292683,..
2007,YR2007,Belize,BLZ,8722,299031,4827.750027,70.636,..
2007,YR2007,Benin,BEN,-48776,8454790,981.4557454,58.255,..
2007,YR2007,Bermuda,BMU,..,64888,128757.8807,78.93414634,..
2007,YR2007,Bhutan,BTN,-10971,664873,1840.271602,66.709,..
2007,YR2007,Bolivia,BOL,-67700,9558438,2313.891227,66.395,..
2007,YR2007,Bosnia and Herzegovina,BIH,-59246,3762791,3909.971642,75.498,..
2007,YR2007,Botswana,BWA,26928,1875458,5612.327792,54.983,..
2007,YR2007,Brazil,BRA,0,190130445,7936.824428,72.618,..
2007,YR2007,British Virgin Islands,VGB,..,25050,..,..,..
2007,YR2007,Brunei Darussalam,BRN,-2257,374967,35064.8667,74.351,..
2007,YR2007,Bulgaria,BGR,-83742,7545338,6044.759412,72.66341463,..
2007,YR2007,Burkina Faso,BFA,-125000,14252029,539.8200175,54.841,..
2007,YR2007,Burundi,BDI,30004,7862226,302.0690353,54.944,..
2007,YR2007,Cabo Verde,CPV,-11341,475067,2922.233072,70.676,..
2007,YR2007,Cambodia,KHM,-295987,13679953,824.8493502,64.697,..
2007,YR2007,Cameroon,CMR,-54000,18730283,1248.662599,53.681,..
2007,YR2007,Canada,CAN,1326431,32889025,42097.43512,80.54390244,..
2007,YR2007,Cayman Islands,CYM,..,52280,91434.53667,..,..
2007,YR2007,Central African Republic,CAF,-125614,4198004,479.1921658,45.636,..
2007,YR2007,Chad,TCD,75000,10818031,655.9425672,49.335,..
2007,YR2007,Channel Islands,CHI,5970,154644,..,80.802,..
2007,YR2007,Chile,CHL,107169,16530201,11147.99357,78.099,..
2007,YR2007,China,CHN,-2178385,1317885000,4319.023769,73.553,..
2007,YR2007,Colombia,COL,-195000,43737512,4890.277607,74.732,..
2007,YR2007,Comoros,COM,-10000,641624,1166.018231,60.734,..
2007,YR2007,"Congo, Dem. Rep.",COD,-43426,58453687,381.4555677,55.091,..
2007,YR2007,"Congo, Rep.",COG,91771,3876123,2047.468055,57.541,..
2007,YR2007,Costa Rica,CRI,30339,4404626,9725.38492,78.362,..
2007,YR2007,Cote d'Ivoire,CIV,-200000,19171250,1557.908294,51.091,..
2007,YR2007,Croatia,HRV,-10499,4310217,12550.23395,75.70560976,..
2007,YR2007,Cuba,CUB,-240000,11251117,6235.7659,78.019,..
2007,YR2007,Curacao,CUW,15363,144056,21011.15689,75.36341463,..
2007,YR2007,Cyprus,CYP,58658,1063708,27154.90039,78.91,..
2007,YR2007,Czechia,CZE,250889,10298828,16739.17872,76.72439024,..
2007,YR2007,Denmark,DNK,87989,5461438,53935.87025,78.19512195,..
2007,YR2007,Djibouti,DJI,-12221,805456,..,58.719,..
2007,YR2007,Dominica,DMA,..,70797,7196.356195,..,..
2007,YR2007,Dominican Republic,DOM,-153773,9338856,5308.632394,71.304,..
2007,YR2007,Ecuador,ECU,-44999,14296554,5048.144555,74.514,..
2007,YR2007,"Egypt, Arab Rep.",EGY,-283573,78232124,3126.274998,69.788,..
2007,YR2007,El Salvador,SLV,-285671,6105810,3308.049627,70.542,..
2007,YR2007,Equatorial Guinea,GNQ,80001,821686,14619.75056,54.842,..
2007,YR2007,Eritrea,ERI,-80009,2996540,722.3669949,60.243,..
2007,YR2007,Estonia,EST,-15151,1340680,17459.09831,72.81463415,..
2007,YR2007,Ethiopia,ETH,-50132,80674343,362.9693134,58.467,..
2007,YR2007,Faroe Islands,FRO,..,47825,..,79.98780488,..
2007,YR2007,Fiji,FJI,-23691,836185,4534.882835,66.413,..
2007,YR2007,Finland,FIN,57558,5288720,46212.64097,79.26341463,..
2007,YR2007,France,FRA,446120,64016227,36468.09788,81.11219512,..
2007,YR2007,French Polynesia,PYF,-9019,262717,..,74.793,..
2007,YR2007,Gabon,GAB,63698,1472565,7301.228842,59.229,..
2007,YR2007,"Gambia, The",GMB,-15436,1639846,686.1423797,58.671,..
2007,YR2007,Georgia,GEO,-119811,3860158,2901.104094,70.765,..
2007,YR2007,Germany,DEU,43087,82266372,37842.35779,79.53414634,..
